Gender,Age,Annual_Income,Income_Type,Employment_Status,Education,Credit_History,Approved
Male,26,78972,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Male,25,135018,Working,Unemployed,Higher Education,Bad,0
Female,50,34996,State Servant,Unemployed,Secondary / Secondary Special,Good,0
Male,23,115922,Commercial Associate,Employed,Incomplete Higher,Bad,1
Male,58,101598,Commercial Associate,Unemployed,Lower Secondary,Good,1
Male,56,50931,Commercial Associate,Employed,Lower Secondary,Good,1
Male,21,139168,Working,Employed,Lower Secondary,Bad,0
Male,30,138099,Working,Unemployed,Incomplete Higher,Good,1
Female,66,49693,Working,Employed,Higher Education,Good,1
Female,19,123944,State Servant,Unemployed,Lower Secondary,Good,1
Female,22,32374,Working,Unemployed,Higher Education,Bad,0
Male,61,96471,State Servant,Employed,Secondary / Secondary Special,Bad,0
Male,44,60913,Commercial Associate,Employed,Higher Education,Good,1
Male,49,138683,Commercial Associate,Unemployed,Higher Education,Good,1
Female,38,59516,Pensioner,Unemployed,Lower Secondary,Bad,0
Male,25,102796,Working,Unemployed,Academic Degree,Good,1
Male,55,41069,Commercial Associate,Unemployed,Academic Degree,Good,1
Female,25,133333,Working,Unemployed,Incomplete Higher,Good,1
Male,67,99811,State Servant,Unemployed,Incomplete Higher,Good,1
Female,20,133028,Commercial Associate,Employed,Academic Degree,Good,1
Female,71,54178,Working,Employed,Secondary / Secondary Special,Good,1
Female,61,47821,Commercial Associate,Employed,Lower Secondary,Good,1
Male,20,31999,Commercial Associate,Employed,Lower Secondary,Good,1
Male,39,53712,Working,Unemployed,Secondary / Secondary Special,Good,1
Male,23,48722,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,19,25625,Commercial Associate,Employed,Academic Degree,Bad,0
Male,40,21859,Commercial Associate,Unemployed,Incomplete Higher,Good,0
Male,61,125986,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,19,36839,State Servant,Unemployed,Incomplete Higher,Bad,0
Female,55,42216,Commercial Associate,Unemployed,Higher Education,Good,0
Male,34,67953,Pensioner,Unemployed,Lower Secondary,Good,1
Female,52,64522,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,51,150958,Working,Unemployed,Lower Secondary,Bad,0
Male,40,126249,Pensioner,Employed,Academic Degree,Bad,0
Male,47,22485,State Servant,Employed,Higher Education,Bad,0
Female,69,177527,Pensioner,Employed,Lower Secondary,Bad,0
Female,25,162839,Pensioner,Unemployed,Higher Education,Good,1
Female,39,127701,Pensioner,Employed,Academic Degree,Good,1
Female,61,174525,Working,Employed,Secondary / Secondary Special,Good,1
Male,53,117638,Working,Employed,Lower Secondary,Good,1
Female,22,27226,Working,Employed,Higher Education,Good,1
Male,30,108405,State Servant,Unemployed,Lower Secondary,Good,1
Male,46,37588,Working,Employed,Lower Secondary,Good,1
Female,48,177781,Working,Unemployed,Lower Secondary,Bad,0
Female,64,52019,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,74,80133,Working,Employed,Higher Education,Good,1
Female,72,129444,Commercial Associate,Unemployed,Higher Education,Good,1
Female,33,132603,Working,Unemployed,Lower Secondary,Good,1
Female,59,173598,State Servant,Unemployed,Secondary / Secondary Special,Good,1
Female,47,143585,State Servant,Unemployed,Lower Secondary,Good,1
Female,74,58395,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Male,72,170103,State Servant,Unemployed,Academic Degree,Bad,0
Female,33,140814,State Servant,Unemployed,Incomplete Higher,Bad,0
Female,29,127599,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,34,40939,Commercial Associate,Employed,Lower Secondary,Good,1
Female,33,166396,Pensioner,Unemployed,Higher Education,Good,1
Male,29,168939,Pensioner,Unemployed,Lower Secondary,Bad,0
Male,25,15203,Working,Employed,Secondary / Secondary Special,Good,1
Female,37,162616,Commercial Associate,Employed,Higher Education,Good,1
Male,20,161971,Working,Employed,Incomplete Higher,Bad,0
Male,33,44063,Working,Employed,Academic Degree,Good,1
Male,47,105880,Pensioner,Unemployed,Academic Degree,Good,1
Male,62,18748,State Servant,Unemployed,Lower Secondary,Good,0
Female,40,132269,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,45,95764,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,68,166956,Pensioner,Employed,Academic Degree,Good,1
Male,57,171255,Pensioner,Employed,Incomplete Higher,Bad,1
Male,71,123036,Pensioner,Unemployed,Lower Secondary,Good,1
Male,22,165331,Pensioner,Employed,Higher Education,Good,1
Male,37,131525,Pensioner,Employed,Lower Secondary,Good,1
Female,57,179529,Pensioner,Employed,Lower Secondary,Bad,1
Female,73,100679,State Servant,Unemployed,Incomplete Higher,Good,0
Male,61,140829,Working,Unemployed,Academic Degree,Good,1
Male,18,143216,State Servant,Unemployed,Incomplete Higher,Good,1
Female,74,148175,Commercial Associate,Employed,Higher Education,Bad,0
Male,47,80901,State Servant,Employed,Incomplete Higher,Good,1
Male,38,162175,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,37,113046,State Servant,Unemployed,Lower Secondary,Good,1
Female,23,105012,Working,Unemployed,Academic Degree,Bad,0
Female,39,93278,Commercial Associate,Employed,Higher Education,Good,1
Female,35,27391,State Servant,Employed,Lower Secondary,Good,1
Male,25,117476,Working,Unemployed,Incomplete Higher,Bad,0
Male,56,174973,State Servant,Employed,Secondary / Secondary Special,Bad,0
Female,49,135721,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,50,112537,State Servant,Employed,Lower Secondary,Bad,0
Female,70,96159,Pensioner,Unemployed,Higher Education,Good,1
Female,33,146040,State Servant,Employed,Academic Degree,Good,1
Male,29,50503,Working,Employed,Lower Secondary,Bad,0
Female,55,90403,State Servant,Employed,Higher Education,Good,1
Male,69,179796,Working,Employed,Lower Secondary,Good,1
Female,51,79286,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,0
Male,31,89842,State Servant,Unemployed,Incomplete Higher,Good,1
Female,53,119927,Commercial Associate,Unemployed,Academic Degree,Good,1
Female,50,29908,Commercial Associate,Employed,Higher Education,Good,1
Female,40,52228,State Servant,Unemployed,Academic Degree,Bad,0
Female,67,38386,Working,Employed,Academic Degree,Good,1
Male,62,43302,Commercial Associate,Unemployed,Academic Degree,Good,0
Female,19,75815,Commercial Associate,Employed,Higher Education,Bad,0
Male,58,78344,State Servant,Unemployed,Higher Education,Good,1
Male,38,126603,State Servant,Unemployed,Academic Degree,Good,1
Male,19,76114,State Servant,Unemployed,Incomplete Higher,Good,1
Male,44,40525,State Servant,Employed,Lower Secondary,Good,1
Female,74,94818,State Servant,Employed,Academic Degree,Good,1
Male,26,129589,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,18,160406,State Servant,Unemployed,Academic Degree,Good,1
Male,28,109715,Working,Employed,Higher Education,Good,1
Female,20,21644,Commercial Associate,Employed,Lower Secondary,Good,1
Female,69,116154,Working,Employed,Secondary / Secondary Special,Bad,0
Female,40,179005,Working,Employed,Lower Secondary,Bad,0
Female,43,58469,Pensioner,Employed,Lower Secondary,Good,1
Male,21,179759,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,35,121609,Commercial Associate,Unemployed,Academic Degree,Bad,0
Female,72,163447,Working,Unemployed,Academic Degree,Good,1
Male,23,80206,State Servant,Employed,Academic Degree,Bad,0
Male,52,111462,State Servant,Unemployed,Incomplete Higher,Good,1
Male,39,98178,Pensioner,Unemployed,Academic Degree,Bad,0
Female,60,170065,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,32,101724,Pensioner,Employed,Incomplete Higher,Good,1
Male,39,111393,Commercial Associate,Unemployed,Academic Degree,Good,1
Female,54,142314,Working,Employed,Incomplete Higher,Good,1
Female,69,91312,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,59,90324,Pensioner,Unemployed,Academic Degree,Good,1
Female,29,86196,Pensioner,Unemployed,Higher Education,Good,1
Female,64,85014,Working,Employed,Secondary / Secondary Special,Good,1
Male,66,154282,Working,Unemployed,Lower Secondary,Good,1
Female,59,156994,Pensioner,Employed,Lower Secondary,Good,1
Male,55,48340,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,35,54850,State Servant,Employed,Lower Secondary,Good,1
Female,62,128711,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,52,26094,Commercial Associate,Employed,Higher Education,Good,1
Male,47,102959,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Male,41,179490,Pensioner,Employed,Academic Degree,Good,1
Female,59,20741,Working,Employed,Academic Degree,Good,1
Female,47,126585,State Servant,Employed,Incomplete Higher,Good,1
Male,31,137564,Working,Employed,Lower Secondary,Good,1
Female,23,83798,Pensioner,Employed,Lower Secondary,Bad,0
Female,20,131026,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Female,33,125130,State Servant,Employed,Lower Secondary,Good,1
Female,24,37164,Working,Employed,Academic Degree,Good,1
Male,69,45257,Working,Unemployed,Higher Education,Good,0
Male,31,160283,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,26,110989,State Servant,Unemployed,Lower Secondary,Good,1
Female,32,151304,Commercial Associate,Unemployed,Academic Degree,Bad,0
Male,38,67691,Pensioner,Unemployed,Incomplete Higher,Bad,0
Male,52,94768,State Servant,Unemployed,Lower Secondary,Bad,0
Female,19,171685,Working,Employed,Higher Education,Good,1
Male,44,29026,Pensioner,Employed,Higher Education,Good,1
Female,19,45908,Working,Unemployed,Lower Secondary,Good,0
Female,52,34610,Working,Unemployed,Lower Secondary,Bad,0
Male,35,78185,Pensioner,Employed,Academic Degree,Good,1
Male,31,87567,Pensioner,Unemployed,Lower Secondary,Good,1
Female,37,51182,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,35,131136,Pensioner,Unemployed,Academic Degree,Good,1
Male,27,146642,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Female,42,34288,Working,Unemployed,Incomplete Higher,Good,1
Male,19,93824,Commercial Associate,Employed,Academic Degree,Good,1
Female,42,175949,Commercial Associate,Employed,Academic Degree,Good,1
Male,71,99425,Pensioner,Employed,Higher Education,Bad,0
Male,50,15917,Working,Unemployed,Academic Degree,Good,0
Male,53,90602,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Female,48,79575,Commercial Associate,Employed,Lower Secondary,Good,1
Female,31,87518,Commercial Associate,Employed,Incomplete Higher,Bad,0
Male,18,54104,Working,Employed,Secondary / Secondary Special,Good,1
Female,63,164134,Pensioner,Unemployed,Academic Degree,Good,1
Male,33,31999,Pensioner,Unemployed,Academic Degree,Good,1
Male,71,156013,Pensioner,Employed,Academic Degree,Good,1
Female,63,76169,State Servant,Employed,Academic Degree,Good,1
Female,69,169542,State Servant,Unemployed,Higher Education,Bad,0
Male,20,144744,State Servant,Employed,Higher Education,Good,1
Female,52,125684,Working,Unemployed,Lower Secondary,Good,1
Female,58,74821,Commercial Associate,Unemployed,Academic Degree,Good,0
Male,23,150601,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,42,27192,Working,Employed,Lower Secondary,Bad,0
Female,30,89102,Working,Unemployed,Academic Degree,Good,1
Male,70,129894,Pensioner,Unemployed,Higher Education,Bad,0
Male,51,101795,Pensioner,Unemployed,Secondary / Secondary Special,Bad,0
Female,25,81677,State Servant,Unemployed,Lower Secondary,Good,1
Male,38,150699,State Servant,Unemployed,Secondary / Secondary Special,Good,1
Male,51,149327,Working,Employed,Academic Degree,Bad,0
Female,21,151285,State Servant,Unemployed,Incomplete Higher,Good,1
Female,42,117412,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Male,32,34404,Working,Unemployed,Secondary / Secondary Special,Good,0
Male,21,131545,Working,Employed,Higher Education,Good,1
Female,62,171452,Commercial Associate,Employed,Academic Degree,Bad,0
Female,29,165245,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,49,38989,Pensioner,Unemployed,Academic Degree,Good,1
Female,49,123106,Commercial Associate,Employed,Higher Education,Bad,1
Male,45,39519,Commercial Associate,Employed,Academic Degree,Bad,0
Female,30,37439,State Servant,Employed,Higher Education,Good,1
Female,48,133570,Working,Employed,Higher Education,Bad,0
Male,31,29995,State Servant,Unemployed,Lower Secondary,Good,0
Female,37,38559,Commercial Associate,Employed,Academic Degree,Bad,0
Male,35,104049,State Servant,Unemployed,Incomplete Higher,Good,1
Female,46,151093,Commercial Associate,Unemployed,Lower Secondary,Good,1
Female,23,113000,State Servant,Employed,Higher Education,Good,1
Female,49,167191,State Servant,Employed,Incomplete Higher,Good,1
Male,46,54350,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,60,40517,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,19,168322,State Servant,Unemployed,Lower Secondary,Bad,0
Male,40,104132,Working,Unemployed,Incomplete Higher,Bad,0
Male,36,74546,State Servant,Unemployed,Academic Degree,Good,1
Male,48,120686,State Servant,Employed,Incomplete Higher,Bad,0
Male,68,103151,Working,Unemployed,Lower Secondary,Good,1
Male,22,18327,Commercial Associate,Employed,Academic Degree,Bad,0
Male,36,135318,Pensioner,Unemployed,Academic Degree,Good,1
Female,51,175840,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,27,130945,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,42,61830,Working,Unemployed,Academic Degree,Good,1
Female,19,67446,State Servant,Employed,Lower Secondary,Good,1
Female,28,161232,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Female,67,173302,State Servant,Unemployed,Academic Degree,Bad,0
Female,48,155148,Pensioner,Employed,Incomplete Higher,Good,1
Male,73,84341,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,32,46085,Working,Employed,Incomplete Higher,Good,1
Female,26,70571,Working,Employed,Incomplete Higher,Good,1
Male,40,160787,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,36,143308,Commercial Associate,Unemployed,Secondary / Secondary Special,Bad,0
Female,26,20750,Pensioner,Employed,Academic Degree,Bad,0
Female,52,128931,Commercial Associate,Unemployed,Higher Education,Good,1
Female,38,93768,State Servant,Unemployed,Academic Degree,Good,1
Female,26,50903,Working,Employed,Secondary / Secondary Special,Good,1
Female,45,178165,Working,Unemployed,Higher Education,Good,1
Female,63,106036,Working,Unemployed,Higher Education,Good,1
Male,68,102954,Commercial Associate,Employed,Higher Education,Bad,0
Female,24,98014,Working,Unemployed,Lower Secondary,Good,1
Female,33,132305,Working,Employed,Secondary / Secondary Special,Bad,0
Male,33,171410,Working,Employed,Lower Secondary,Good,1
Male,50,47101,Pensioner,Employed,Higher Education,Good,1
Male,21,17775,Pensioner,Unemployed,Lower Secondary,Good,1
Male,21,126497,Commercial Associate,Unemployed,Lower Secondary,Good,0
Female,56,60619,Working,Unemployed,Secondary / Secondary Special,Good,0
Female,57,165611,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Female,34,72124,Working,Employed,Lower Secondary,Good,1
Female,54,80149,Working,Unemployed,Lower Secondary,Bad,0
Female,56,41616,Working,Employed,Higher Education,Good,1
Female,69,76799,Commercial Associate,Unemployed,Higher Education,Good,1
Male,46,105221,Commercial Associate,Unemployed,Higher Education,Good,1
Female,69,129879,Working,Unemployed,Academic Degree,Good,1
Male,53,40479,State Servant,Unemployed,Lower Secondary,Good,0
Male,55,114165,Commercial Associate,Unemployed,Higher Education,Good,1
Female,56,70863,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,67,97569,Commercial Associate,Unemployed,Academic Degree,Good,1
Female,54,161480,Working,Unemployed,Incomplete Higher,Good,1
Male,69,31351,State Servant,Unemployed,Lower Secondary,Good,0
Female,52,150203,Working,Unemployed,Lower Secondary,Good,1
Male,24,59825,Pensioner,Employed,Secondary / Secondary Special,Bad,0
